"","pg_tt","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual"
"151","2_d2","2","d2","Bu=0",38,0.527777777777778,0.8,0.10912176878093,0.10912176878093,0.021824353756186,1,0.021824353756186,1,0.2,0.2,TRUE
"152","2_d2","2","d2","Bu=1",6,0.0833333333333333,0.8,0,0,0,0,0.0457420106804068,0,0,0.8,FALSE
"153","2_d3","2","d3","A=0",4,0.0597014925373134,NA,0,0.244868914195326,0,0,0.265318350060456,0,0,0,FALSE
"154","2_d3","2","d3","A=1",2,0.0298507462686567,NA,0,0,0,NA,0,NA,NA,NA,NA
"155","2_d3","2","d3","Au=0",2,0.0298507462686567,0,0,0.061041282899754,0,0,0.0653671270117152,0.9,0,0.9,FALSE
"156","2_d3","2","d3","Au=1",3,0.0447761194029851,0,0,0.00172447492164957,0,0,0.00255421876189142,0.1,0,0.1,FALSE
"157","2_d3","2","d3","B=0",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA
"158","2_d3","2","d3","B=1",11,0.164179104477612,NA,0.355482393505536,0.355482393505536,0.305850518466853,1,0.305850518466853,1,1,1,TRUE
"159","2_d3","2","d3","Bu=0",2,0.0298507462686567,0.2,0,0,0,0,0.0218437579773417,0,0,0.2,FALSE
"160","2_d3","2","d3","Bu=1",43,0.641791044776119,0.2,0.0568913408993502,0.0568913408993502,0.0455130727194801,1,0.0455130727194801,1,0.8,0.8,TRUE
"161","2_d4","2","d4","A=0",2,0.0246913580246914,NA,0,0,0,NA,0,NA,NA,NA,NA
"162","2_d4","2","d4","A=1",8,0.0987654320987654,NA,0,0.0142086730866295,0,0,0.0132093818619254,0,0,0,FALSE
"163","2_d4","2","d4","Au=0",34,0.419753086419753,0.1,0.192844319473953,0.192844319473953,0.173559887526558,1,0.173559887526558,1,0.9,0.9,TRUE
"164","2_d4","2","d4","Au=1",5,0.0617283950617284,0.1,0,0,0,0,0.00569257561612395,0,0,0.1,FALSE
"165","2_d4","2","d4","B=0",21,0.259259259259259,NA,0.389242087451691,0.389242087451691,0.38529832189566,1,0.38529832189566,1,1,1,TRUE
"166","2_d4","2","d4","B=1",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA
"167","2_d4","2","d4","Bu=0",2,0.0246913580246914,0,0.0262450246200386,0.0262450246200386,0.0321023133724693,0.2,0.0321023133724693,0.2,0.2,0.2,TRUE
"168","2_d4","2","d4","Bu=1",9,0.111111111111111,0,0,0.0375860449578179,0,0,0.0536424505506135,0.8,0,0.8,FALSE
"169","2_d5","2","d5","A=0",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA
"170","2_d5","2","d5","A=1",14,0.191780821917808,NA,0.0042405826905258,0.0042405826905258,0.0134272713018456,1,0.0134272713018456,1,1,1,TRUE
"171","2_d5","2","d5","Au=0",2,0.0273972602739726,0.9,0,0,0,0,0.174627518966148,0,0,0.9,FALSE
"172","2_d5","2","d5","Au=1",36,0.493150684931507,0.9,0.0569941721811441,0.0569941721811441,0.00569941721811441,1,0.00569941721811441,1,0.1,0.1,TRUE
"173","2_d5","2","d5","B=0",10,0.136986301369863,NA,0,0.349877686918315,0,0,0.385252668685709,0,0,0,FALSE
"174","2_d5","2","d5","B=1",3,0.0410958904109589,NA,0,0,0,NA,0,NA,NA,NA,NA
"175","2_d5","2","d5","Bu=0",4,0.0547945205479452,0,0,0.084735551988103,0,0,0.0319784540399412,0.2,0,0.2,FALSE
"176","2_d5","2","d5","Bu=1",4,0.0547945205479452,0,0,0.197996438355888,0,0,0.0535109131214544,0.8,0,0.8,FALSE
"177","2_d6","2","d6","A=0",2,0.0294117647058824,NA,0,0,0,NA,0,NA,NA,NA,NA
"178","2_d6","2","d6","A=1",6,0.0882352941176471,NA,0,0.261250124176795,0,0,0.231351013776178,0,0,0,FALSE
"179","2_d6","2","d6","Au=0",19,0.279411764705882,0.1,0.377313484215438,0.377313484215438,0.31712684609277,1,0.31712684609277,1,0.9,0.9,TRUE
"180","2_d6","2","d6","Au=1",1,0.0147058823529412,0.1,0,0,0,0,0.0179447484235051,0,0,0.1,FALSE
"181","2_d6","2","d6","B=0",4,0.0588235294117647,NA,0,0,0,NA,0,NA,NA,NA,NA
"182","2_d6","2","d6","B=1",6,0.0882352941176471,NA,0,0.0337754529974677,0,0,0.123984350713624,0,0,0,FALSE
"183","2_d6","2","d6","Bu=0",26,0.382352941176471,0.8,0.0248170712505581,0.0248170712505581,0.0074675163332817,1,0.0074675163332817,1,0.2,0.2,TRUE
"184","2_d6","2","d6","Bu=1",4,0.0588235294117647,0.8,0,0,0,0,0.0219198122270418,0,0,0.8,FALSE
"185","2_d7","2","d7","A=0",1,0.0138888888888889,NA,0,0,0,NA,0,NA,NA,NA,NA
"186","2_d7","2","d7","A=1",7,0.0972222222222222,NA,0.224359995485361,0.224359995485361,0.231027190746626,1,0.231027190746626,1,1,1,TRUE
"187","2_d7","2","d7","Au=0",3,0.0416666666666667,0.022,0,0.303671616318888,0,0,0.3169037697936,0.878048780487805,0,0.9,FALSE
"188","2_d7","2","d7","Au=1",10,0.138888888888889,0.022,0.0218901806937835,0.0218901806937835,0.0179499481689024,0.121951219512195,0.0179499481689024,0.121951219512195,0.1,0.1,TRUE
"189","2_d7","2","d7","B=0",1,0.0138888888888889,NA,0,0,0,NA,0,NA,NA,NA,NA
"190","2_d7","2","d7","B=1",14,0.194444444444444,NA,0.143550392207107,0.143550392207107,0.123721182542291,1,0.123721182542291,1,1,1,TRUE
"191","2_d7","2","d7","Bu=0",1,0.0138888888888889,0.176,0,0.00363594181249992,0,0,0.00755257724899682,0.024390243902439,0,0.2,FALSE
"192","2_d7","2","d7","Bu=1",35,0.486111111111111,0.176,0.0267494546864557,0.0267494546864557,0.0219345528428937,0.975609756097561,0.0219345528428937,0.975609756097561,0.8,0.8,TRUE
"193","3_c1","3","c1","A=0",23,0.306666666666667,NA,0.120747323365086,0.120747323365086,0.120747323365086,1,0.120747323365086,1,1,1,TRUE
"194","3_c1","3","c1","A=1",0,0,NA,0,0,0,NA,0,NA,NA,NA,NA
"195","3_c1","3","c1","Au=0",3,0.04,0,0.00741372924765427,0.00741372924765427,0.00741372924765427,0.3,0.00741372924765427,0.3,0.3,0.3,TRUE
"196","3_c1","3","c1","Au=1",5,0.0666666666666667,0,0,0.0338410045308313,0,0,0.0338410045308313,0.7,0,0.7,FALSE
"197","3_c1","3","c1","B=0",24,0.32,NA,0.0116050385007517,0.0116050385007517,0.0116050385007517,1,0.0116050385007517,1,1,1,TRUE
