"","pg_tt","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual","baseline"
"174","2_d5","2","d5","B=1",3,0.0410958904109589,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"175","2_d5","2","d5","Bu=0",4,0.0547945205479452,0,0,0.0100272509994794,0,0,0.0480125227822097,0.2,0,0.2,FALSE,0.125
"176","2_d5","2","d5","Bu=1",4,0.0547945205479452,0,0,0.0230708583454867,0,0,0.0697296244062799,0.8,0,0.8,FALSE,0.125
"177","2_d6","2","d6","A=0",2,0.0294117647058824,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"178","2_d6","2","d6","A=1",6,0.0882352941176471,NA,0,0.0203015214888522,0,0,0.0324444052411863,0,0,0,FALSE,0.125
"179","2_d6","2","d6","Au=0",19,0.279411764705882,0.1,0.277254005031688,0.277254005031688,0.102463803349005,1,0.102463803349005,1,0.9,0.9,TRUE,0.125
"180","2_d6","2","d6","Au=1",1,0.0147058823529412,0.1,0,0,0,0,0.0358894968470102,0,0,0.1,FALSE,0.125
"181","2_d6","2","d6","B=0",4,0.0588235294117647,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"182","2_d6","2","d6","B=1",6,0.0882352941176471,NA,0,0.20072640777002,0,0,0.669164157094696,0,0,0,FALSE,0.125
"183","2_d6","2","d6","Bu=0",26,0.382352941176471,0.8,0.848919530965302,0.848919530965302,0.158806402590117,1,0.158806402590117,1,0.2,0.2,TRUE,0.125
"184","2_d6","2","d6","Bu=1",4,0.0588235294117647,0.8,0,0,0,0,0.380051414078603,0,0,0.8,FALSE,0.125
"185","2_d7","2","d7","A=0",1,0.0138888888888889,NA,0,0,0,NA,0,NA,NA,NA,NA,0.125
"186","2_d7","2","d7","A=1",7,0.0972222222222222,NA,0.034978141718352,0.034978141718352,0.0323594800049917,1,0.0323594800049917,1,1,1,TRUE,0.125
"187","2_d7","2","d7","Au=0",3,0.0416666666666667,0.022,0,0.0637035818792967,0,0,0.102168926057217,0.878048780487805,0,0.9,FALSE,0.125
