"","X","trial_id","pgroup","trialtype","node3","n","prop","tv","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual","A","B","E","include"
"134",134,"2_c5",2,"c5","B=1",14,0.162790697674419,NA,0.416974454310046,0.416974454310046,0.632839253502613,1,0.632839253502613,1,1,1,TRUE,1,1,1,TRUE
"135",135,"2_c5",2,"c5","Bu=0",1,0.0116279069767442,0.2,0,0,0,0,-0.0621062955528838,0,0,0.2,FALSE,1,1,1,TRUE
"136",136,"2_c5",2,"c5","Bu=1",29,0.337209302325581,0.2,0.249688387957975,0.249688387957975,0.0764375659009693,1,0.0764375659009693,1,0.8,0.8,TRUE,1,1,1,TRUE
"137",137,"2_d1",2,"d1","A=0",10,0.147058823529412,NA,0.0291266024189402,0.0291266024189402,0.0291266024189402,1,0.0291266024189402,1,1,1,TRUE,0,0,0,TRUE
"138",138,"2_d1",2,"d1","A=1",3,0.0441176470588235,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,0,0,FALSE
"139",139,"2_d1",2,"d1","Au=0",8,0.117647058823529,0,0.067947679242266,0.067947679242266,0.067947679242266,0.9,0.067947679242266,0.9,0.9,0.9,TRUE,0,0,0,TRUE
"140",140,"2_d1",2,"d1","Au=1",2,0.0294117647058824,0,0,-0.0021084232234408,0,0,-0.0021084232234408,0.1,0,0.1,FALSE,0,0,0,TRUE
"141",141,"2_d1",2,"d1","B=0",33,0.485294117647059,NA,0.833149632814987,0.833149632814987,0.833149632814987,1,0.833149632814987,1,1,1,TRUE,0,0,0,TRUE
"142",142,"2_d1",2,"d1","B=1",1,0.0147058823529412,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,0,0,FALSE
"143",143,"2_d1",2,"d1","Bu=0",5,0.0735294117647059,0,0.0762684408019712,0.0762684408019712,0.0762684408019712,0.2,0.0762684408019712,0.2,0.2,0.2,TRUE,0,0,0,TRUE
"144",144,"2_d1",2,"d1","Bu=1",5,0.0735294117647059,0,0,-0.112558249851029,0,0,-0.112558249851029,0.8,0,0.8,FALSE,0,0,0,TRUE
"145",145,"2_d2",2,"d2","A=0",16,0.216216216216216,NA,0.694804282847591,0.694804282847591,0.530979252186215,1,0.530979252186215,1,1,1,TRUE,0,1,0,TRUE
"146",146,"2_d2",2,"d2","A=1",0,0,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,1,0,FALSE
"147",147,"2_d2",2,"d2","Au=0",1,0.0135135135135135,0,0.166278648722561,0.166278648722561,0.130166023671374,0.9,0.130166023671374,0.9,0.9,0.9,TRUE,0,1,0,TRUE
"148",148,"2_d2",2,"d2","Au=1",3,0.0405405405405405,0,0,-0.0114927654597846,0,0,-0.00512857081594472,0.1,0,0.1,FALSE,0,1,0,TRUE
"149",149,"2_d2",2,"d2","B=0",3,0.0405405405405405,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,0,1,0,FALSE
"150",150,"2_d2",2,"d2","B=1",7,0.0945945945945946,NA,0,-0.213478294298089,0,0,-0.611868266354434,0,0,0,FALSE,0,1,0,TRUE
